sportName
foci
kosárlabda
kézilabda
röplabda
asztalitenisz
tenisz
úszás
atlétika
torna
kerékpározás
futás
szertorna
judo
karate
taekwondo
labtoll-labda
floorball
korcsolya
jégkorong
síelés
görkorcsolya
tánc
balett
kajakozás
kenu
vívás
lovaglás
rugby
amerikai foci
badminton
